name,team,bye_week,position,adp,name_normalized,match_key,year,fantasy_points,games_played
Romeo Doubs,GB,14.0,WR,176.3,romeo doubs,romeodoubs,2022,101.6,12.0
Isaiah McKenzie,FA,0.0,WR,176.3,isaiah mckenzie,isaiahmckenzie,2022,115.9,14.0
Mike Davis,FA,0.0,RB,177.0,mike davis,mikedavis,2022,4.2,8.0
Robert Tonyan,KC,8.0,TE,177.8,robert tonyan,roberttonyan,2022,106.1,16.0
Isiah Pacheco,KC,8.0,RB,178.0,isiah pacheco,isiahpacheco,2022,122.6,16.0
Mark Ingram II ,FA,0.0,RB,179.0,mark ingram ii,markingramii,2022,50.3,10.0
Ryan Succop,FA,0.0,K,179.0,ryan succop,ryansuccop,2022,127.0,16.0
Khalil Herbert,IND,14.0,RB,181.3,khalil herbert,khalilherbert,2022,112.0,12.0
Kansas City Chiefs,DST,8.0,DST,183.3,kansas city chiefs,kansascitychiefs,2022,107.0,-1.0
Ryan Tannehill ,FA,0.0,QB,185.3,ryan tannehill,ryantannehill,2022,161.2,12.0
Tyler Allgeier,ATL,14.0,RB,186.3,tyler allgeier,tylerallgeier,2022,145.9,15.0
Rondale Moore,MIN,7.0,WR,186.3,rondale moore,rondalemoore,2022,87.9,8.0
Marlon Mack,FA,0.0,RB,187.5,marlon mack,marlonmack,2022,38.3,8.0
Mac Jones,SF,9.0,QB,188.0,mac jones,macjones,2022,153.8,13.0
Christian Watson,GB,14.0,WR,188.3,christian watson,christianwatson,2022,147.5,13.0
Gerald Everett,FA,0.0,TE,189.3,gerald everett,geraldeverett,2022,129.7,15.0
Ronald Jones,II,0.0,RB,191.0,ronald jones,ronaldjones,2022,5.7,5.0
Darrel Williams,FA,0.0,RB,191.5,darrel williams,darrelwilliams,2022,21.1,6.0
Chuba Hubbard,CAR,13.0,RB,193.0,chuba hubbard,chubahubbard,2022,80.8,14.0
Rachaad White,TB,11.0,RB,193.0,rachaad white,rachaadwhite,2022,137.6,16.0
Evan Engram,DEN,9.0,TE,193.8,evan engram,evanengram,2022,170.2,16.0
Deshaun Watson,CLE,9.0,QB,194.5,deshaun watson,deshaunwatson,2022,68.0,5.0
Baker Mayfield,TB,11.0,QB,195.3,baker mayfield,bakermayfield,2022,115.9,11.0
Greg Joseph,SF,9.0,K,195.3,greg joseph,gregjoseph,2022,119.0,16.0
Randy Bullock,FA,0.0,K,197.0,randy bullock,randybullock,2022,74.0,15.0
Philadelphia Eagles,DST,7.0,DST,197.3,philadelphia eagles,philadelphiaeagles,2022,151.0,-1.0
Cleveland Browns,DST,9.0,DST,198.0,cleveland browns,clevelandbrowns,2022,105.0,-1.0
Isaiah Spiller,FA,0.0,RB,199.7,isaiah spiller,isaiahspiller,2022,8.4,6.0
