name,team,bye_week,position,adp,name_normalized,match_key,year
Devin Singletary,NYG,9.0,RB,82.5,devin singletary,devinsingletary,2022
Hunter Renfrow,CAR,13.0,WR,83.3,hunter renfrow,hunterrenfrow,2022
DeAndre Hopkins,BAL,10.0,WR,83.3,deandre hopkins,deandrehopkins,2022
Dameon Pierce,HU,6.0,RB,83.5,dameon pierce,dameonpierce,2022
Damien Harris,FA,0.0,RB,83.8,damien harris,damienharris,2022
Miles Sanders,DAL,9.0,RB,84.5,miles sanders,milessanders,2022
Kareem Hunt,KC,8.0,RB,85.3,kareem hunt,kareemhunt,2022
Cordarrelle Patterson,PIT,9.0,RB,85.8,cordarrelle patterson,cordarrellepatterson,2022
Tony Pollard,TEN,6.0,RB,86.0,tony pollard,tonypollard,2022
Chase Edmonds,FA,0.0,RB,86.8,chase edmonds,chaseedmonds,2022
Rashaad Penny ,FA,0.0,RB,87.0,rashaad penny,rashaadpenny,2022
Rashod Bateman,BAL,10.0,WR,88.5,rashod bateman,rashodbateman,2022
Zach Ertz,WAS,14.0,TE,88.8,zach ertz,zachertz,2022
Dawson Knox,BUF,7.0,TE,90.0,dawson knox,dawsonknox,2022
Elijah Moore,BUF,7.0,WR,90.0,elijah moore,elijahmoore,2022
DeVonta Smith,PHI,7.0,WR,90.3,devonta smith,devontasmith,2022
Matthew Stafford,LAR,7.0,QB,92.0,matthew stafford,matthewstafford,2022
Buffalo Bills,DST,7.0,DST,92.0,buffalo bills,buffalobills,2022
Tyler Lockett,TEN,6.0,WR,96.5,tyler lockett,tylerlockett,2022
Brandon Aiyuk,SF,9.0,WR,98.0,brandon aiyuk,brandonaiyuk,2022
Drake London,ATL,14.0,WR,98.5,drake london,drakelondon,2022
Rhamondre Stevenson,NE,10.0,RB,100.0,rhamondre stevenson,rhamondrestevenson,2022
Christian Kirk,HOU,6.0,WR,100.3,christian kirk,christiankirk,2022
Trey Lance,LAC,8.0,QB,101.5,trey lance,treylance,2022
Robert Woods,PIT,9.0,WR,103.0,robert woods,robertwoods,2022
Allen Lazard,NYJ,10.0,WR,104.5,allen lazard,allenlazard,2022
Justin Tucker,FA,0.0,K,105.5,justin tucker,justintucker,2022
Melvin Gordon,III,0.0,RB,107.5,melvin gordon,melvingordon,2022
Pat Freiermuth,PIT,9.0,TE,108.5,pat freiermuth,patfreiermuth,2022
Chris Olave,NO,14.0,WR,110.8,chris olave,chrisolave,2022
Tampa Bay Buccaneers,DST,11.0,DST,112.3,tampa bay buccaneers,tampabaybuccaneers,2022
Derek Carr,FA,0.0,QB,113.3,derek carr,derekcarr,2022
Kenneth Walker III,SEA,11.0,RB,116.0,kenneth walker,kennethwalker,2022
Chase Claypool,FA,0.0,WR,116.3,chase claypool,chaseclaypool,2022
James Robinson,FA,0.0,RB,117.0,james robinson,jamesrobinson,2022
Michael Carter,ARI,13.0,RB,117.0,michael carter,michaelcarter,2022
San Francisco 49ers,DST,9.0,DST,118.8,san francisco 49ers,sanfrancisco49ers,2022
Kadarius Toney,FA,0.0,WR,119.0,kadarius toney,kadariustoney,2022
James Cook,BUF,7.0,RB,120.0,james cook,jamescook,2022
Cole Kmet,CHI,14.0,TE,121.8,cole kmet,colekmet,2022
Indianapolis Colts,DST,14.0,DST,123.5,indianapolis colts,indianapoliscolts,2022
Kirk Cousins,ATL,14.0,QB,125.3,kirk cousins,kirkcousins,2022
George Pickens,DAL,9.0,WR,127.8,george pickens,georgepickens,2022
Los Angeles Rams,DST,7.0,DST,129.0,los angeles rams,losangelesrams,2022
Evan McPherson,CIN,10.0,K,129.0,evan mcpherson,evanmcpherson,2022
Harrison Butker,KC,8.0,K,129.0,harrison butker,harrisonbutker,2022
Mike Gesicki,CIN,10.0,TE,129.0,mike gesicki,mikegesicki,2022
Hunter Henry,NE,10.0,TE,130.3,hunter henry,hunterhenry,2022
Treylon Burks,TEN,6.0,WR,131.8,treylon burks,treylonburks,2022
Daniel Carlson,LV,6.0,K,132.3,daniel carlson,danielcarlson,2022
Darrell Henderson Jr.,FA,0.0,RB,132.5,darrell henderson,darrellhenderson,2022
Tyler Bass,BUF,7.0,K,132.8,tyler bass,tylerbass,2022
Alexander Mattison,MIA,11.0,RB,135.0,alexander mattison,alexandermattison,2022
New Orleans Saints,DST,14.0,DST,135.3,new orleans saints,neworleanssaints,2022
Matt Gay,WAS,14.0,K,135.8,matt gay,mattgay,2022
Tyler Boyd,FA,0.0,WR,137.8,tyler boyd,tylerboyd,2022
Garrett Wilson,NYJ,10.0,WR,138.0,garrett wilson,garrettwilson,2022
Dallas Cowboys,DST,9.0,DST,138.8,dallas cowboys,dallascowboys,2022
Michael Gallup,WAS,14.0,WR,139.3,michael gallup,michaelgallup,2022
Tua Tagovailoa,MIA,11.0,QB,140.5,tua tagovailoa,tuatagovailoa,2022
Nyheim Hines,FA,0.0,RB,140.5,nyheim hines,nyheimhines,2022
Green Bay Packers,DST,14.0,DST,142.5,green bay packers,greenbaypackers,2022
Skyy Moore,KC,8.0,WR,142.8,skyy moore,skyymoore,2022
Julio Jones,FA,0.0,WR,143.8,julio jones,juliojones,2022
Raheem Mostert,LV,6.0,RB,144.8,raheem mostert,raheemmostert,2022
Russell Gage Jr.,SF,9.0,WR,145.5,russell gage,russellgage,2022
Kenneth Gainwell,PIT,9.0,RB,146.8,kenneth gainwell,kennethgainwell,2022
DJ Chark Jr.,FA,0.0,WR,147.5,dj chark,djchark,2022
Justin Fields,NYJ,10.0,QB,148.0,justin fields,justinfields,2022
Marquez Valdes-Scantling,SEA,11.0,WR,148.8,marquez valdes scantling,marquezvaldesscantling,2022
Los Angeles Chargers,DST,8.0,DST,148.8,los angeles chargers,losangeleschargers,2022
Matt Prater,FA,0.0,K,151.0,matt prater,mattprater,2022
Brian Robinson Jr.,WAS,14.0,RB,153.8,brian robinson,brianrobinson,2022
Trevor Lawrence,JAC,11.0,QB,155.0,trevor lawrence,trevorlawrence,2022
Tyler Higbee,LAR,7.0,TE,155.3,tyler higbee,tylerhigbee,2022
Jarvis Landry ,FA,0.0,WR,157.3,jarvis landry,jarvislandry,2022
Baltimore Ravens,DST,10.0,DST,159.8,baltimore ravens,baltimoreravens,2022
DeVante Parker,FA,0.0,WR,161.5,devante parker,devanteparker,2022
David Njoku,CLE,9.0,TE,161.8,david njoku,davidnjoku,2022
Jakobi Meyers,LV,6.0,WR,162.3,jakobi meyers,jakobimeyers,2022
Noah Fant,SEA,11.0,TE,164.3,noah fant,noahfant,2022
J.D. McKissic ,FA,0.0,RB,165.3,jd mckissic,jdmckissic,2022
New England Patriots,DST,10.0,DST,166.0,new england patriots,newenglandpatriots,2022
Jameis Winston,NYG,9.0,QB,166.3,jameis winston,jameiswinston,2022
Younghoe Koo,ATL,14.0,K,166.5,younghoe koo,younghoekoo,2022
Jeff Wilson Jr.,FA,0.0,RB,167.0,jeff wilson,jeffwilson,2022
Mecole Hardman Jr.,GB,14.0,WR,168.8,mecole hardman,mecolehardman,2022
Denver Broncos,DST,9.0,DST,169.0,denver broncos,denverbroncos,2022
Albert Okwuegbunam Jr.,IND,14.0,TE,169.3,albert okwuegbunam,albertokwuegbunam,2022
Miami Dolphins,DST,11.0,DST,169.3,miami dolphins,miamidolphins,2022
Jamaal Williams,FA,0.0,RB,170.0,jamaal williams,jamaalwilliams,2022
Mason Crosby,FA,0.0,K,170.5,mason crosby,masoncrosby,2022
Nick Folk,FA,0.0,K,172.0,nick folk,nickfolk,2022
Matt Ryan,FA,0.0,QB,172.3,matt ryan,mattryan,2022
Brandon McManus,GB,14.0,K,173.8,brandon mcmanus,brandonmcmanus,2022
Pittsburgh Steelers,DST,9.0,DST,174.8,pittsburgh steelers,pittsburghsteelers,2022
Jahan Dotson,PHI,7.0,WR,174.8,jahan dotson,jahandotson,2022
Irv Smith Jr.,HOU,6.0,TE,175.8,irv smith,irvsmith,2022
Isaiah McKenzie,FA,0.0,WR,176.3,isaiah mckenzie,isaiahmckenzie,2022
Romeo Doubs,GB,14.0,WR,176.3,romeo doubs,romeodoubs,2022
Mike Davis,FA,0.0,RB,177.0,mike davis,mikedavis,2022
Robert Tonyan,KC,8.0,TE,177.8,robert tonyan,roberttonyan,2022
Isiah Pacheco,KC,8.0,RB,178.0,isiah pacheco,isiahpacheco,2022
Ryan Succop,FA,0.0,K,179.0,ryan succop,ryansuccop,2022
Mark Ingram II ,FA,0.0,RB,179.0,mark ingram ii,markingramii,2022
Khalil Herbert,IND,14.0,RB,181.3,khalil herbert,khalilherbert,2022
Kansas City Chiefs,DST,8.0,DST,183.3,kansas city chiefs,kansascitychiefs,2022
Ryan Tannehill ,FA,0.0,QB,185.3,ryan tannehill,ryantannehill,2022
Tyler Allgeier,ATL,14.0,RB,186.3,tyler allgeier,tylerallgeier,2022
Rondale Moore,MIN,7.0,WR,186.3,rondale moore,rondalemoore,2022
Marlon Mack,FA,0.0,RB,187.5,marlon mack,marlonmack,2022
Mac Jones,SF,9.0,QB,188.0,mac jones,macjones,2022
Christian Watson,GB,14.0,WR,188.3,christian watson,christianwatson,2022
Gerald Everett,FA,0.0,TE,189.3,gerald everett,geraldeverett,2022
Ronald Jones,II,0.0,RB,191.0,ronald jones,ronaldjones,2022
Darrel Williams,FA,0.0,RB,191.5,darrel williams,darrelwilliams,2022
Rachaad White,TB,11.0,RB,193.0,rachaad white,rachaadwhite,2022
Chuba Hubbard,CAR,13.0,RB,193.0,chuba hubbard,chubahubbard,2022
Evan Engram,DEN,9.0,TE,193.8,evan engram,evanengram,2022
Deshaun Watson,CLE,9.0,QB,194.5,deshaun watson,deshaunwatson,2022
Baker Mayfield,TB,11.0,QB,195.3,baker mayfield,bakermayfield,2022
Greg Joseph,SF,9.0,K,195.3,greg joseph,gregjoseph,2022
Randy Bullock,FA,0.0,K,197.0,randy bullock,randybullock,2022
Philadelphia Eagles,DST,7.0,DST,197.3,philadelphia eagles,philadelphiaeagles,2022
Cleveland Browns,DST,9.0,DST,198.0,cleveland browns,clevelandbrowns,2022
Isaiah Spiller,FA,0.0,RB,199.7,isaiah spiller,isaiahspiller,2022
Myles Gaskin ,FA,0.0,RB,200.0,myles gaskin,mylesgaskin,2022
Robbie Gould,FA,0.0,K,201.3,robbie gould,robbiegould,2022
Zamir White,LV,6.0,RB,201.3,zamir white,zamirwhite,2022
Odell Beckham Jr.,FA,0.0,WR,202.0,odell beckham,odellbeckham,2022
Joshua Palmer,BUF,7.0,WR,202.3,joshua palmer,joshuapalmer,2022
Jameson Williams,DET,6.0,WR,202.7,jameson williams,jamesonwilliams,2022
Chris Boswell,PIT,9.0,K,202.7,chris boswell,chrisboswell,2022
Matt Breida,FA,0.0,RB,205.0,matt breida,mattbreida,2022
Hayden Hurst,FA,0.0,TE,206.0,hayden hurst,haydenhurst,2022
Las Vegas Raiders,DST,6.0,DST,207.0,las vegas raiders,lasvegasraiders,2022
Austin Seibert,FA,0.0,K,208.0,austin seibert,austinseibert,2022
Logan Thomas,FA,0.0,TE,208.3,logan thomas,loganthomas,2022
Carson Wentz,FA,0.0,QB,208.3,carson wentz,carsonwentz,2022
Robbie Chosen,FA,0.0,WR,208.5,robbie chosen,robbiechosen,2022
Austin Hooper,NE,10.0,TE,209.0,austin hooper,austinhooper,2022
Jalen Tolbert,DAL,9.0,WR,210.3,jalen tolbert,jalentolbert,2022
Kenny Golladay,FA,0.0,WR,210.5,kenny golladay,kennygolladay,2022
Alec Pierce,IND,14.0,WR,211.3,alec pierce,alecpierce,2022
Corey Davis,FA,0.0,WR,211.5,corey davis,coreydavis,2022
Tyrion Davis-Price,TEN,6.0,RB,211.5,tyrion davis price,tyriondavisprice,2022
A.J. Green,FA,0.0,WR,212.0,aj green,ajgreen,2022
Parris Campbell,DAL,9.0,WR,212.0,parris campbell,parriscampbell,2022
Wil Lutz,DEN,9.0,K,212.3,wil lutz,willutz,2022
Marvin Jones Jr.,FA,0.0,WR,212.3,marvin jones,marvinjones,2022
Daniel Jones,IND,14.0,QB,213.8,daniel jones,danieljones,2022
Nico Collins,HU,6.0,WR,213.8,nico collins,nicocollins,2022
Graham Gano,NYG,9.0,K,214.5,graham gano,grahamgano,2022
Rodrigo Blankenship,FA,0.0,K,214.5,rodrigo blankenship,rodrigoblankenship,2022
Jared Goff,DET,6.0,QB,214.8,jared goff,jaredgoff,2022
C.J. Uzomah,FA,0.0,TE,215.0,cj uzomah,cjuzomah,2022
Jerick McKinnon,FA,0.0,RB,216.3,jerick mckinnon,jerickmckinnon,2022
Taysom Hill,NO,14.0,TE,216.5,taysom hill,taysomhill,2022
Sammy Watkins,FA,0.0,WR,217.0,sammy watkins,sammywatkins,2022
Dustin Hopkins,CLE,9.0,K,217.0,dustin hopkins,dustinhopkins,2022
Van Jefferson,TEN,6.0,WR,217.3,van jefferson,vanjefferson,2022
Jake Elliott,PHI,7.0,K,218.0,jake elliott,jakeelliott,2022
D'Onta Foreman,FA,0.0,RB,219.0,donta foreman,dontaforeman,2022
Jordan Mason,MIN,7.0,RB,220.0,jordan mason,jordanmason,2022
Cincinnati Bengals,DST,10.0,DST,220.5,cincinnati bengals,cincinnatibengals,2022
Isaiah Likely,BAL,10.0,TE,221.0,isaiah likely,isaiahlikely,2022
Kenyan Drake,FA,0.0,RB,221.3,kenyan drake,kenyandrake,2022
Tennessee Titans,DST,6.0,DST,222.0,tennessee titans,tennesseetitans,2022
Brevin Jordan,HOU,6.0,TE,223.0,brevin jordan,brevinjordan,2022
Minnesota Vikings,DST,7.0,DST,224.0,minnesota vikings,minnesotavikings,2022
Randall Cobb,FA,0.0,WR,224.5,randall cobb,randallcobb,2022
Wan'Dale Robinson,NYG,9.0,WR,224.7,wandale robinson,wandalerobinson,2022
Eno Benjamin,FA,0.0,RB,225.0,eno benjamin,enobenjamin,2022
Kenny Pickett,CLE,9.0,QB,225.3,kenny pickett,kennypickett,2022
Dontrell Hilliard ,FA,0.0,RB,226.0,dontrell hilliard,dontrellhilliard,2022
K.J. Osborn,WAS,14.0,WR,226.7,kj osborn,kjosborn,2022
KJ Hamler,BUF,7.0,WR,229.0,kj hamler,kjhamler,2022
Cairo Santos,CHI,14.0,K,230.0,cairo santos,cairosantos,2022
Ke'Shawn Vaughn,FA,0.0,RB,230.0,keshawn vaughn,keshawnvaughn,2022
Damien Williams,FA,0.0,RB,231.0,damien williams,damienwilliams,2022
Washington Commanders,DST,14.0,DST,231.7,washington commanders,washingtoncommanders,2022
Jimmy Garoppolo,LAR,7.0,QB,233.0,jimmy garoppolo,jimmygaroppolo,2022
Arizona Cardinals,DST,13.0,DST,233.5,arizona cardinals,arizonacardinals,2022
Cade York,FA,0.0,K,234.0,cade york,cadeyork,2022
Rex Burkhead,FA,0.0,RB,234.3,rex burkhead,rexburkhead,2022
Kendrick Bourne,NE,10.0,WR,235.0,kendrick bourne,kendrickbourne,2022
Marcus Mariota,WAS,14.0,QB,235.5,marcus mariota,marcusmariota,2022
Kyle Rudolph,FA,0.0,TE,237.7,kyle rudolph,kylerudolph,2022
Brett Maher,FA,0.0,K,238.0,brett maher,brettmaher,2022
Zach Wilson,MIA,11.0,QB,239.0,zach wilson,zachwilson,2022
Cameron Brate,FA,0.0,TE,240.0,cameron brate,cameronbrate,2022
Sony Michel,FA,0.0,RB,240.0,sony michel,sonymichel,2022
Ameer Abdullah,FA,0.0,RB,242.5,ameer abdullah,ameerabdullah,2022
David Bell,CLE,9.0,WR,243.0,david bell,davidbell,2022
Joshua Kelley,FA,0.0,RB,244.0,joshua kelley,joshuakelley,2022
Jason Sanders,MIA,11.0,K,244.0,jason sanders,jasonsanders,2022
Jason Myers,SEA,11.0,K,244.0,jason myers,jasonmyers,2022
Mitchell Trubisky,BUF,7.0,QB,244.3,mitchell trubisky,mitchelltrubisky,2022
Gus Edwards,FA,0.0,RB,247.0,gus edwards,gusedwards,2022
DeAndre Torrey,FA,0.0,RB,247.0,deandre torrey,deandretorrey,2022
Chicago Bears,DST,14.0,DST,247.5,chicago bears,chicagobears,2022
Mo Alie-Cox,IND,14.0,TE,248.0,mo alie cox,moaliecox,2022
Jake Powell,FA,0.0,TE,248.0,jake powell,jakepowell,2022
Samaje Perine,CIN,10.0,RB,249.5,samaje perine,samajeperine,2022
Tyler Conklin,LAC,8.0,TE,250.0,tyler conklin,tylerconklin,2022
Davis Mills,HOU,6.0,QB,250.0,davis mills,davismills,2022
Collin Hill,FA,0.0,QB,250.0,collin hill,collinhill,2022
Hassan Haskins,LAC,8.0,RB,250.5,hassan haskins,hassanhaskins,2022
Carolina Panthers,DST,13.0,DST,251.0,carolina panthers,carolinapanthers,2022
Braxton Berrios,HOU,6.0,WR,252.0,braxton berrios,braxtonberrios,2022
Austin Walter,FA,0.0,RB,253.0,austin walter,austinwalter,2022
Kyle Juszczyk,SF,9.0,RB,253.0,kyle juszczyk,kylejuszczyk,2022
Jamison Crowder,FA,0.0,WR,253.5,jamison crowder,jamisoncrowder,2022
Donovan Peoples-Jones,NO,14.0,WR,253.7,donovan peoples jones,donovanpeoplesjones,2022
Zay Jones,ARI,13.0,WR,254.0,zay jones,zayjones,2022
Karan Higdon,FA,0.0,RB,255.0,karan higdon,karanhigdon,2022
Jordan Johnson,FA,0.0,RB,256.0,jordan johnson,jordanjohnson,2022
Seattle Seahawks,DST,11.0,DST,256.0,seattle seahawks,seattleseahawks,2022
Zack Moss,CIN,10.0,RB,256.5,zack moss,zackmoss,2022
Stephen Baggett,FA,0.0,TE,257.0,stephen baggett,stephenbaggett,2022
Alex Barnes,FA,0.0,RB,258.0,alex barnes,alexbarnes,2022
Jaylen Warren,PIT,9.0,RB,258.0,jaylen warren,jaylenwarren,2022
Detroit Lions,DST,6.0,DST,259.0,detroit lions,detroitlions,2022
Zach Olstad,FA,0.0,RB,259.0,zach olstad,zacholstad,2022
Temarrick Hemingway,FA,0.0,TE,260.0,temarrick hemingway,temarrickhemingway,2022
Jerome Washington,FA,0.0,TE,261.0,jerome washington,jeromewashington,2022
Stephon Robinson Jr.,FA,0.0,WR,262.0,stephon robinson,stephonrobinson,2022
New York Giants,DST,9.0,DST,262.0,new york giants,newyorkgiants,2022
Boston Scott,FA,0.0,RB,262.0,boston scott,bostonscott,2022
Nick Bawden,FA,0.0,RB,263.0,nick bawden,nickbawden,2022
Curtis Samuel,BUF,7.0,WR,263.3,curtis samuel,curtissamuel,2022
Michael Jacobson,NO,14.0,TE,264.0,michael jacobson,michaeljacobson,2022
Jamel Johnson,FA,0.0,WR,265.0,jamel johnson,jameljohnson,2022
Brandon Barnes,FA,0.0,TE,266.0,brandon barnes,brandonbarnes,2022
D'Ernest Johnson,FA,0.0,RB,266.5,dernest johnson,dernestjohnson,2022
Drew Anderson,FA,0.0,QB,267.0,drew anderson,drewanderson,2022
Zach Conque,FA,0.0,QB,268.0,zach conque,zachconque,2022
Marquez Callaway,FA,0.0,WR,268.0,marquez callaway,marquezcallaway,2022
Kendrick Rogers,FA,0.0,WR,270.0,kendrick rogers,kendrickrogers,2022
Taywan Taylor,FA,0.0,WR,271.0,taywan taylor,taywantaylor,2022
New York Jets,DST,10.0,DST,272.0,new york jets,newyorkjets,2022
Kyle Lewis,FA,0.0,WR,272.0,kyle lewis,kylelewis,2022
Jonnu Smith,MIA,11.0,TE,273.0,jonnu smith,jonnusmith,2022
Papi White,FA,0.0,WR,274.0,papi white,papiwhite,2022
Laviska Shenault Jr.,BUF,7.0,WR,275.0,laviska shenault,laviskashenault,2022
Krishawn Hogan,FA,0.0,WR,276.0,krishawn hogan,krishawnhogan,2022
Houston Texans,DST,6.0,DST,276.0,houston texans,houstontexans,2022
Brogan Roback,FA,0.0,QB,277.0,brogan roback,broganroback,2022
Cole Hunt,FA,0.0,TE,278.0,cole hunt,colehunt,2022
Cedrick Wilson Jr.,NO,14.0,WR,278.0,cedrick wilson,cedrickwilson,2022
David Watford,FA,0.0,WR,279.0,david watford,davidwatford,2022
Zaire Mitchell-Paden,BAL,10.0,TE,280.0,zaire mitchell paden,zairemitchellpaden,2022
Chris Evans,FA,0.0,RB,280.0,chris evans,chrisevans,2022
Brandon Bolden,FA,0.0,RB,281.0,brandon bolden,brandonbolden,2022
Josh Smith,FA,0.0,WR,281.0,josh smith,joshsmith,2022
Sterling Shepard,TB,11.0,WR,281.5,sterling shepard,sterlingshepard,2022
Nelson Agholor,FA,0.0,WR,283.0,nelson agholor,nelsonagholor,2022
Foster Moreau,NO,14.0,TE,284.0,foster moreau,fostermoreau,2022
Quez Watkins,ARI,13.0,WR,287.0,quez watkins,quezwatkins,2022
J.J. Taylor,HOU,6.0,RB,288.0,jj taylor,jjtaylor,2022
Byron Pringle,FA,0.0,WR,289.0,byron pringle,byronpringle,2022
Jacksonville Jaguars,DST,11.0,DST,290.0,jacksonville jaguars,jacksonvillejaguars,2022
Drew Lock,SEA,11.0,QB,291.0,drew lock,drewlock,2022
Jauan Jennings,SF,9.0,WR,293.0,jauan jennings,jauanjennings,2022
DeeJay Dallas,ARI,13.0,RB,294.0,deejay dallas,deejaydallas,2022
Ka'imi Fairbairn,HOU,6.0,K,295.0,kaimi fairbairn,kaimifairbairn,2022
Trey Sermon,PIT,9.0,RB,296.0,trey sermon,treysermon,2022
Malik Willis,GB,14.0,QB,297.0,malik willis,malikwillis,2022
Joey Slye,TEN,6.0,K,299.0,joey slye,joeyslye,2022
O.J. Howard,FA,0.0,TE,300.0,oj howard,ojhoward,2022
