"Name","Team","POS","PTS","PTS/G","GP","CMP","YDS","TD","INT","ATT","YDS","TD","FUM","TGT","REC","YDS","TD"
"Christian McCaffrey","SF","RB","391.3","24.5","16","0","0","0","0","272","1459","14","2","83","67","564","7"
"Josh Allen","BUF","QB","369.6","23.1","16","355","3947","27","16","96","457","15","3","0","0","0","0"
"CeeDee Lamb","DAL","WR","367.7","23","16","0","0","0","0","13","106","2","2","168","122","1651","10"
"Jalen Hurts","PHI","QB","356.2","22.3","16","345","3803","23","14","155","601","15","5","0","0","0","0"
"Tyreek Hill","MIA","WR","355.2","23.7","15","0","0","0","0","6","15","0","1","158","112","1717","12"
"Lamar Jackson","BAL","QB","331.2","20.7","16","307","3678","24","7","148","821","5","6","0","0","0","0"
"Dak Prescott","DAL","QB","317.7","19.9","16","379","4237","32","8","55","242","2","2","0","0","0","0"
"Amon-Ra St. Brown","DET","WR","303.5","20.2","15","0","0","0","0","4","24","0","1","155","112","1371","9"
"Jordan Love","GB","QB","300.5","18.8","16","345","3843","30","11","47","248","4","2","0","0","0","0"
"Brock Purdy","SF","QB","295.6","18.5","16","308","4280","31","11","39","144","2","2","0","0","0","0"
"A.J. Brown","PHI","WR","289.7","18.1","16","0","0","0","0","0","0","0","1","157","105","1447","7"
"Puka Nacua","LAR","WR","284.4","17.8","16","0","0","0","0","12","89","0","0","153","101","1445","5"
"Patrick Mahomes","KC","QB","280.3","17.5","16","401","4184","27","14","75","389","0","3","0","0","0","0"
"Mike Evans","TB","WR","277.3","17.3","16","0","0","0","0","0","0","0","0","127","76","1233","13"
"DJ Moore","CHI","WR","276.1","17.3","16","0","0","0","0","4","21","1","1","130","92","1300","8"
"Keenan Allen","LAC","WR","272.9","21","13","1","49","1","0","2","6","0","1","150","108","1243","7"
"Jared Goff","DET","QB","270.3","16.9","16","384","4255","28","12","32","21","2","3","0","0","0","0"
"Travis Etienne Jr.","JAX","RB","268.7","16.8","16","0","0","0","0","251","951","11","0","67","53","446","1"
"Baker Mayfield","TB","QB","267.9","16.7","16","344","3907","28","10","57","156","1","3","0","0","0","0"
"Raheem Mostert","MIA","RB","267.7","17.8","15","0","0","0","0","209","1012","18","1","32","25","175","3"
"Tua Tagovailoa","MIA","QB","262.7","16.4","16","371","4451","28","12","34","67","0","5","0","0","0","0"
"Breece Hall","NYJ","RB","261.5","16.3","16","0","0","0","0","186","816","4","0","93","74","579","4"
"Stefon Diggs","BUF","WR","258.1","16.1","16","0","0","0","0","1","5","0","1","152","100","1096","8"
"Ja'Marr Chase","CIN","WR","257.1","17.1","15","1","-7","0","0","3","-6","0","0","139","96","1197","7"
"Russell Wilson","DEN","QB","256.9","17.1","15","297","3070","26","8","80","341","3","5","0","0","0","0"
"Kyren Williams","LAR","RB","255","21.3","12","0","0","0","0","228","1144","12","2","48","32","206","3"
"Rachaad White","TB","RB","254.6","15.9","16","0","0","0","0","253","915","6","2","66","60","531","3"
"C.J. Stroud","HOU","QB","254.5","18.2","14","299","3844","21","5","36","147","3","4","1","1","0","0"
"Sam Howell","WAS","QB","250.1","15.6","16","369","3792","20","19","44","264","5","2","0","0","0","0"
"Davante Adams","LV","WR","249.8","15.6","16","0","0","0","0","0","0","0","0","167","98","1098","7"
"Trevor Lawrence","JAX","QB","246.3","16.4","15","341","3736","19","12","67","329","4","7","0","0","0","0"
"Brandon Aiyuk","SF","WR","243.7","16.2","15","0","0","0","0","0","0","0","1","101","72","1317","7"
"Matthew Stafford","LAR","QB","243.1","16.2","15","326","3965","24","11","21","65","0","0","0","0","0","0"
"Michael Pittman Jr.","IND","WR","242.8","16.2","15","0","0","0","0","0","0","0","0","150","104","1108","4"
"Joe Mixon","CIN","RB","242.3","15.1","16","0","0","0","0","243","923","8","0","62","51","370","2"
"Deebo Samuel","SF","WR","238.5","17","14","0","0","0","0","36","214","5","0","87","58","871","7"
"Jahmyr Gibbs","DET","RB","233.1","16.6","14","0","0","0","0","169","915","9","1","70","52","316","1"
"Alvin Kamara","NO","RB","233","17.9","13","0","0","0","0","180","694","5","0","87","75","466","1"
"Justin Herbert","LAC","QB","232.2","17.9","13","297","3134","20","7","52","228","3","1","1","1","10","0"
"Adam Thielen","CAR","WR","227.8","14.2","16","0","0","0","0","1","6","0","0","134","101","1002","4"
"DeVonta Smith","PHI","WR","227.6","14.2","16","0","0","0","0","0","0","0","1","112","81","1066","7"
"Amari Cooper","CLE","WR","227","15.1","15","0","0","0","0","0","0","0","1","128","72","1250","5"
"Nico Collins","HOU","WR","225.9","16.1","14","0","0","0","0","1","7","0","0","100","71","1102","7"
"Sam LaPorta","DET","TE","225.4","14.1","16","0","0","0","0","1","4","0","0","113","81","860","9"
"James Cook","BUF","RB","224.5","14","16","0","0","0","0","224","1086","2","2","50","41","429","4"
"DK Metcalf","SEA","WR","223.4","14.9","15","0","0","0","0","0","0","0","0","113","65","1104","8"
"Justin Fields","CHI","QB","221.6","18.5","12","216","2414","16","9","116","630","4","4","0","0","0","0"
"Bijan Robinson","ATL","RB","220.2","13.8","16","0","0","0","0","203","948","4","3","78","51","384","3"
"Travis Kelce","KC","TE","219.4","14.6","15","0","0","0","0","0","0","0","1","121","93","984","5"
"T.J. Hockenson","MIN","TE","219","14.6","15","0","0","0","0","0","0","0","1","127","95","960","5"
"Derrick Henry","TEN","RB","216.8","13.6","16","2","14","2","0","261","1014","11","0","36","28","214","0"
"Chris Olave","NO","WR","216.7","14.4","15","0","0","0","0","0","0","0","0","135","84","1067","4"
"Derek Carr","NO","QB","214","13.4","16","353","3614","21","8","31","34","0","3","0","0","0","0"
"Isiah Pacheco","KC","RB","213.9","15.3","14","0","0","0","0","205","935","7","1","49","44","244","2"
"Rashee Rice","KC","WR","212.5","13.3","16","0","0","0","0","1","-3","0","1","102","79","938","7"
"George Pickens","PIT","WR","208.5","13","16","0","0","0","0","2","15","0","0","106","63","1140","5"
"Garrett Wilson","NYJ","WR","207.8","13","16","0","0","0","0","4","0","0","2","163","93","1008","3"
"Calvin Ridley","JAX","WR","207.3","13","16","0","0","0","0","9","23","0","0","126","70","910","7"
"Evan Engram","JAX","TE","206.4","12.9","16","0","0","0","0","0","0","0","2","130","104","884","3"
"Zay Flowers","BAL","WR","206.4","12.9","16","0","0","0","0","8","56","1","0","108","77","858","5"
"Geno Smith","SEA","QB","206.1","14.7","14","307","3435","18","9","34","127","1","3","1","1","-2","0"
"DeAndre Hopkins","TEN","WR","206","12.9","16","0","0","0","0","2","9","0","0","126","68","1011","6"
"Tony Pollard","DAL","RB","206","12.9","16","0","0","0","0","235","935","5","1","65","53","295","0"
"Jerome Ford","CLE","RB","206","12.9","16","0","0","0","0","201","807","4","1","60","42","293","5"
"Jordan Addison","MIN","WR","205.6","12.9","16","0","0","0","0","1","2","0","0","100","66","854","9"
"George Kittle","SF","TE","203.2","12.7","16","0","0","0","0","1","2","0","0","90","65","1020","6"
"Jayden Reed","GB","WR","202","13.5","15","0","0","0","0","11","119","2","0","90","60","681","8"
"David Njoku","CLE","TE","201.2","12.6","16","0","0","0","0","0","0","0","2","123","81","882","6"
"Joshua Dobbs","ARI","QB","200.7","15.4","13","262","2464","13","10","77","421","6","7","0","0","0","0"
"Saquon Barkley","NYG","RB","199.5","15.3","13","0","0","0","0","229","916","4","2","58","39","229","4"
"D'Andre Swift","PHI","RB","199.3","12.5","16","0","0","0","0","229","1049","5","1","49","39","214","1"
"Jaylen Waddle","MIA","WR","198.6","14.2","14","0","0","0","0","3","12","0","0","104","72","1014","4"
"Chris Godwin","TB","WR","197.7","12.4","16","0","0","0","0","3","34","1","0","124","77","973","2"
"Terry McLaurin","WAS","WR","197.6","12.3","16","0","0","0","0","0","0","1","0","123","73","946","4"
"David Montgomery","DET","RB","197.2","15.2","13","0","0","0","0","209","975","12","1","24","16","117","0"
"Jakobi Meyers","LV","WR","192.5","12.8","15","2","12","1","0","3","19","1","0","101","68","746","7"
"Kenneth Walker III","SEA","RB","190.3","13.6","14","0","0","0","0","202","827","8","0","36","28","256","1"
"Courtland Sutton","DEN","WR","189","12.6","15","0","0","0","0","0","0","0","3","86","58","770","10"
"Jaylen Warren","PIT","RB","188.4","11.8","16","0","0","0","0","140","751","4","1","69","56","353","0"
"Gardner Minshew","IND","QB","187.7","12.5","15","292","3164","15","9","33","91","3","5","0","0","0","0"
"Brian Robinson Jr.","WAS","RB","187.5","13.4","14","0","0","0","0","169","708","5","1","40","33","357","3"
"Tyler Lockett","SEA","WR","185.3","11.6","16","0","0","0","0","0","0","0","0","118","77","823","4"
"Gus Edwards","BAL","RB","184.2","11.5","16","0","0","0","0","188","762","13","1","13","12","180","0"
"Josh Jacobs","LV","RB","181.1","13.9","13","0","0","0","0","233","805","6","1","54","37","296","0"
"De'Von Achane","MIA","RB","177.6","17.8","10","0","0","0","0","93","744","7","1","36","26","192","3"
"Romeo Doubs","GB","WR","174.4","10.9","16","0","0","0","0","0","0","0","0","95","59","674","8"
"Cole Kmet","CHI","TE","174","10.9","16","0","0","0","0","3","2","0","0","87","70","678","6"
"Austin Ekeler","LAC","RB","173.5","13.3","13","0","0","0","0","169","617","5","4","66","44","398","1"
"Chuba Hubbard","CAR","RB","171.3","10.7","16","0","0","0","0","215","819","5","0","42","37","224","0"
"Najee Harris","PIT","RB","171.2","10.7","16","0","0","0","0","229","923","7","1","33","24","149","0"
"James Conner","ARI","RB","171.1","14.3","12","0","0","0","0","181","890","6","0","29","23","111","2"
"Trey McBride","ARI","TE","169.1","10.6","16","0","0","0","0","0","0","0","0","100","78","791","2"
"Zack Moss","IND","RB","166.6","12.8","13","0","0","0","0","177","764","5","0","37","27","192","2"
"Justin Jefferson","MIN","WR","166.2","18.5","9","0","0","0","0","0","0","0","1","86","56","882","4"
"Drake London","ATL","WR","165.4","11","15","1","22","0","0","0","0","0","0","101","65","864","2"
"Tank Dell","HOU","WR","165","15","11","0","0","0","0","11","51","0","0","75","47","709","7"
"Cooper Kupp","LAR","WR","164.4","13.7","12","0","0","0","0","1","-3","0","0","95","59","737","5"
"Jake Ferguson","DAL","TE","164.2","10.3","16","0","0","0","0","0","0","0","0","96","65","692","5"
"Ezekiel Elliott","NE","RB","161.4","10.1","16","0","0","0","0","171","588","3","1","58","46","286","2"
"Gabe Davis","BUF","WR","161.4","10.1","16","0","0","0","0","1","-2","0","1","79","45","746","7"
"Desmond Ridder","ATL","QB","161.1","11.5","14","227","2545","10","11","51","193","5","6","1","1","-6","0"
"Javonte Williams","DEN","RB","158.7","10.6","15","0","0","0","0","208","742","2","1","49","40","185","2"
"Brandin Cooks","DAL","WR","157","10.5","15","0","0","0","0","4","32","0","0","73","48","618","7"
"Bryce Young","CAR","QB","152.2","10.1","15","304","2783","11","10","37","229","0","5","0","0","0","0"
"Curtis Samuel","WAS","WR","152.2","10.1","15","0","0","0","0","6","24","1","0","87","60","598","4"
"Christian Kirk","JAX","WR","150.3","12.5","12","1","-1","0","0","1","6","0","2","85","57","787","3"
"Kirk Cousins","MIN","QB","149.7","18.7","8","216","2331","18","5","14","25","0","4","0","0","0","0"
"Devin Singletary","HOU","RB","149.6","9.3","16","1","6","1","0","192","835","3","0","37","29","191","0"
"Josh Downs","IND","WR","149.3","9.3","16","0","0","0","0","0","0","0","0","95","65","723","2"
"Joe Burrow","CIN","QB","147.2","14.7","10","244","2309","15","6","31","88","0","1","0","0","0","0"
"Rhamondre Stevenson","NE","RB","145.7","12.1","12","0","0","0","0","156","619","4","1","51","38","238","0"
"Jaxon Smith-Njigba","SEA","WR","145.4","9.1","16","0","0","0","0","0","0","0","0","88","60","614","4"
"Tyler Boyd","CIN","WR","145.4","9.1","16","0","0","0","1","2","11","0","0","96","66","663","2"
"Dalton Schultz","HOU","TE","141.3","10.1","14","0","0","0","0","0","0","0","1","81","54","593","5"
"Tee Higgins","CIN","WR","137.6","11.5","12","0","0","0","0","0","0","0","0","76","42","656","5"
"Mark Andrews","BAL","TE","135.4","13.5","10","0","0","0","0","1","0","0","0","61","45","544","6"
"Dallas Goedert","PHI","TE","134.9","10.4","13","0","0","0","0","1","1","0","0","80","58","588","3"
"Dalton Kincaid","BUF","TE","134.9","9","15","0","0","0","0","0","0","0","1","83","66","589","2"
"Marquise Brown","ARI","WR","134.7","9.6","14","0","0","0","0","2","23","0","0","101","51","574","4"
"Rashid Shaheed","NO","WR","134.1","9.6","14","0","0","0","0","7","37","0","1","71","43","654","4"
"Darius Slayton","NYG","WR","133.8","8.4","16","0","0","0","0","0","0","0","0","72","45","708","3"
"Diontae Johnson","PIT","WR","133.8","11.2","12","0","0","0","0","0","0","0","0","82","47","628","4"
"Kyle Pitts","ATL","TE","132.6","8.3","16","0","0","0","0","1","-4","0","0","87","51","640","3"
"Tyjae Spears","TEN","RB","132.2","8.3","16","0","0","0","0","97","428","1","0","67","49","344","0"
"Elijah Moore","CLE","WR","132.1","8.3","16","0","0","0","0","9","11","0","2","104","59","640","2"
"Tyler Allgeier","ATL","RB","131.2","8.2","16","0","0","0","0","180","659","4","0","20","15","183","1"
"Alexander Mattison","MIN","RB","129.3","8.6","15","0","0","0","0","173","676","0","2","43","29","187","3"
"Jonathan Taylor","IND","RB","128.8","14.3","9","0","0","0","0","139","553","6","0","21","17","145","1"
"Kyler Murray","ARI","QB","128.6","18.4","7","154","1537","9","5","39","211","3","0","0","0","0","0"
"Jake Browning","CIN","QB","126.1","15.8","8","153","1780","9","6","25","109","3","0","1","1","-7","0"
"Logan Thomas","WAS","TE","124.9","8.3","15","0","0","0","0","1","2","0","2","77","54","487","4"
"Jerry Jeudy","DEN","WR","124.9","8.3","15","0","0","0","0","0","0","0","0","81","51","679","1"
"Jahan Dotson","WAS","WR","121.1","7.6","16","0","0","0","0","0","0","0","0","80","47","501","4"
"Antonio Gibson","WAS","RB","120.8","8.1","15","0","0","0","0","63","257","1","2","55","45","361","2"
"Zach Wilson","NYJ","QB","119.9","10","12","221","2271","8","7","36","211","0","7","0","0","0","0"
"Hunter Henry","NE","TE","119.9","8.6","14","0","0","0","0","0","0","0","0","62","42","419","6"
"Wan'Dale Robinson","NYG","WR","119.7","8.6","14","0","0","0","0","9","87","1","0","72","55","440","1"
"Tyler Conklin","NYJ","TE","119.5","7.5","16","0","0","0","0","1","0","0","0","84","59","605","0"
"Josh Reynolds","DET","WR","119.4","7.5","16","0","0","0","0","0","0","0","1","57","35","564","5"
"AJ Dillon","GB","RB","117.6","7.8","15","0","0","0","0","178","613","2","0","28","22","223","0"
"K.J. Osborn","MIN","WR","117.1","7.8","15","0","0","0","0","0","0","0","0","71","46","531","3"
"Kareem Hunt","CLE","RB","117","8.4","14","0","0","0","0","135","411","9","0","20","14","79","0"
"Aaron Jones","GB","RB","115.8","11.6","10","0","0","0","0","120","545","2","1","38","25","203","1"
"Samaje Perine","DEN","RB","115.3","7.2","16","0","0","0","0","50","231","1","2","52","47","432","0"
"Jonnu Smith","ATL","TE","112.3","7","16","0","0","0","0","1","0","0","1","66","47","553","2"
"Cade Otton","TB","TE","111.5","7","16","0","0","0","0","0","0","0","1","64","45","425","4"
"DJ Chark Jr.","CAR","WR","110.9","7.9","14","0","0","0","0","0","0","0","0","62","33","479","5"
"Kenny Pickett","PIT","QB","110.2","9.2","12","201","2070","6","4","42","54","1","0","0","0","0","0"
"Gerald Everett","LAC","TE","109.7","7.8","14","0","0","0","0","3","10","0","0","69","50","407","3"
"Tyler Higbee","LAR","TE","108.5","7.2","15","0","0","0","0","0","0","0","0","70","47","495","2"
"Tutu Atwell","LAR","WR","108.1","7.2","15","0","0","0","0","4","35","0","0","63","37","476","3"
"Aidan O'Connell","LV","QB","108","10.8","10","193","1974","10","7","13","10","1","2","0","0","0","0"
"Chigoziem Okonkwo","TEN","TE","107.8","6.7","16","0","0","0","0","2","6","0","0","74","52","492","1"
"Odell Beckham Jr.","BAL","WR","107.5","7.7","14","0","0","0","0","0","0","0","1","64","35","565","3"
"Mac Jones","NE","QB","106.4","9.7","11","224","2120","10","12","26","96","0","2","0","0","0","0"
"Khalil Herbert","CHI","RB","106.4","9.7","11","0","0","0","0","120","583","2","1","29","18","121","1"
"Jaleel McLaughlin","DEN","RB","105.4","6.6","16","0","0","0","0","72","404","1","0","36","31","160","2"
"Demario Douglas","NE","WR","103.9","8","13","0","0","0","0","7","41","0","1","73","47","548","0"
"Darren Waller","NYG","TE","103.7","9.4","11","0","0","0","0","0","0","0","0","68","47","507","1"
"Justice Hill","BAL","RB","103.7","6.9","15","0","0","0","0","84","387","3","1","29","25","180","1"
"Will Levis","TEN","QB","102","11.3","9","149","1808","8","4","25","57","1","4","0","0","0","0"
"Noah Brown","HOU","WR","101.6","10.2","10","0","0","0","0","1","-1","0","0","55","33","567","2"
"Christian Watson","GB","WR","101.3","11.3","9","0","0","0","0","4","11","0","0","53","28","422","5"
"Joe Flacco","CLE","QB","100.8","20.2","5","123","1616","13","8","9","2","0","1","0","0","0","0"
"Roschon Johnson","CHI","RB","100.1","7.1","14","0","0","0","0","76","332","2","0","40","34","209","0"
"Kendrick Bourne","NE","WR","100","12.5","8","0","0","0","0","1","4","0","1","55","37","406","4"
"Michael Wilson","ARI","WR","99","8.3","12","0","0","0","0","0","0","0","0","52","32","470","3"
"Zach Charbonnet","SEA","RB","98.1","6.5","15","0","0","0","0","103","430","1","0","38","31","181","0"
"Rondale Moore","ARI","WR","97.4","6.1","16","0","0","0","0","27","173","1","0","57","36","321","1"
"Khalil Shakir","BUF","WR","96.6","6","16","0","0","0","0","1","10","0","0","39","33","506","2"
"Joshua Palmer","LAC","WR","95.7","10.6","9","0","0","0","0","0","0","0","1","51","32","537","2"
"Alec Pierce","IND","WR","95.4","6","16","0","0","0","0","0","0","0","0","61","32","514","2"
"Dontayvion Wicks","GB","WR","95.1","6.8","14","1","14","0","0","1","1","0","1","51","33","520","2"
"Tommy Devito","NYG","QB","93","10.3","9","112","1087","8","3","36","195","1","1","0","0","0","0"
"Trey Palmer","TB","WR","92.7","5.8","16","0","0","0","0","3","22","0","1","62","37","375","3"
"D'Onta Foreman","CHI","RB","91.2","10.1","9","0","0","0","0","109","425","4","0","16","11","77","1"
"Juwan Johnson","NO","TE","90.8","7.6","12","0","0","0","0","0","0","0","0","55","34","328","4"
"Kenneth Gainwell","PHI","RB","90.5","6","15","1","17","0","0","77","302","2","1","36","30","183","0"
"Kalif Raymond","DET","WR","90.4","5.7","16","0","0","0","0","7","75","0","0","42","33","439","1"
"Ty Chandler","MIN","RB","90.1","5.6","16","0","0","0","0","90","392","3","0","22","19","139","0"
"Isaiah Likely","BAL","TE","90","5.6","16","0","0","0","0","0","0","0","0","38","28","380","4"
"Michael Thomas","NO","WR","89.8","9","10","0","0","0","0","0","0","0","0","64","39","448","1"
"Quentin Johnston","LAC","WR","89.7","5.6","16","0","0","0","0","2","3","0","0","62","36","414","2"
"Robert Woods","HOU","WR","89.3","6.4","14","0","0","0","0","1","7","0","0","75","40","426","1"
"Justin Watson","KC","WR","89","5.9","15","0","0","0","0","0","0","0","1","52","27","460","3"
"Nelson Agholor","BAL","WR","88.2","5.5","16","0","0","0","0","0","0","0","0","40","30","342","4"
"Michael Gallup","DAL","WR","87.8","5.5","16","0","0","0","0","0","0","0","0","55","34","418","2"
"Demarcus Robinson","LAR","WR","87.4","5.8","15","0","0","0","0","1","23","0","1","39","26","371","4"
"Deshaun Watson","CLE","QB","86.8","14.5","6","105","1115","7","4","26","142","1","2","0","0","0","0"
"Miles Sanders","CAR","RB","85.8","5.7","15","0","0","0","0","126","414","1","2","41","27","154","0"
"Nick Westbrook-Ikhine","TEN","WR","85","6.1","14","0","0","0","0","0","0","0","0","45","28","370","3"
"Jonathan Mingo","CAR","WR","84.8","5.7","15","0","0","0","0","0","0","0","0","85","43","418","0"
"Latavius Murray","BUF","RB","82.9","5.2","16","0","0","0","0","79","300","4","0","22","17","119","0"
"Jerick McKinnon","KC","RB","80.3","6.7","12","1","4","1","0","21","60","1","0","32","25","193","4"
"Jameson Williams","DET","WR","80.3","6.7","12","0","0","0","0","3","29","1","0","41","24","354","2"
"Darnell Mooney","CHI","WR","78.9","5.3","15","0","0","0","0","2","5","0","0","61","31","414","1"
"Rico Dowdle","DAL","RB","78.5","5.2","15","0","0","0","0","80","315","2","0","18","14","90","2"
"Tanner Hudson","CIN","TE","77.1","7","11","0","0","0","0","0","0","0","0","48","37","341","1"
"Dameon Pierce","HOU","RB","76.7","5.9","13","0","0","0","0","145","416","2","0","17","13","101","0"
"Rashod Bateman","BAL","WR","76.5","5.1","15","0","0","0","0","1","18","0","0","56","32","367","1"
"Noah Fant","SEA","TE","73.4","4.6","16","0","0","0","0","0","0","0","0","43","32","414","0"
"Emari Demercado","ARI","RB","73.3","5.6","13","0","0","0","0","58","284","2","0","30","21","119","0"
"Luke Musgrave","GB","TE","73.1","7.3","10","0","0","0","0","0","0","0","0","45","33","341","1"
"Pat Freiermuth","PIT","TE","72.7","6.6","11","0","0","0","0","0","0","0","0","45","30","287","2"
"Anthony Richardson","IND","QB","72.7","18.2","4","50","577","3","1","25","136","4","1","0","0","0","0"
"Tucker Kraft","GB","TE","72.4","4.5","16","0","0","0","0","0","0","0","0","37","28","324","2"
"Michael Mayer","LV","TE","71.4","5.1","14","0","0","0","0","0","0","0","0","40","27","304","2"
"DeVante Parker","NE","WR","70.8","5.9","12","0","0","0","0","0","0","0","0","51","32","388","0"
"Noah Gray","KC","TE","70.6","4.4","16","0","0","0","0","1","1","0","0","38","28","305","2"
"Keaton Mitchell","BAL","RB","69.9","8.7","8","0","0","0","0","47","396","2","0","11","9","93","0"
"Kylen Granson","IND","TE","69.7","5","14","0","0","0","0","1","2","0","0","49","29","345","1"
"Tyrod Taylor","NYG","QB","69.7","7","10","93","1044","4","2","30","159","0","0","0","0","0","0"
"Bailey Zappe","NE","QB","68.4","7.6","9","115","1184","6","7","14","70","1","1","0","0","0","0"
"Clyde Edwards-Helaire","KC","RB","68.1","4.9","14","0","0","0","0","68","222","1","0","20","16","179","1"
"Ryan Tannehill","TEN","QB","67.6","7.5","9","132","1448","2","6","14","77","1","0","0","0","0","0"
"Zay Jones","JAX","WR","67.4","8.4","8","0","0","0","0","0","0","0","0","55","28","274","2"
"Cedrick Wilson Jr.","MIA","WR","66.2","4.7","14","0","0","0","0","0","0","0","0","35","21","272","3"
"Donald Parham Jr.","LAC","TE","66.2","5.1","13","0","0","0","0","0","0","0","0","35","22","202","4"
"Taylor Heinicke","ATL","QB","66","13.2","5","74","890","5","4","15","124","1","0","0","0","0","0"
"Brandon Powell","MIN","WR","65.9","4.1","16","0","0","0","0","5","17","0","1","41","28","322","1"
"Durham Smythe","MIA","TE","65.6","4.4","15","0","0","0","0","0","0","0","0","40","32","336","0"
"Taysom Hill","NO","QB","64.3","4.3","15","6","83","1","0","75","350","4","1","36","29","263","2"
"Jimmy Garoppolo","LV","QB","64.1","10.7","6","110","1205","7","9","20","39","0","0","0","0","0","0"
"Mike Gesicki","NE","TE","63.9","4","16","0","0","0","0","0","0","0","0","41","28","239","2"
"Chris Moore","TEN","WR","62.3","3.9","16","0","0","0","0","2","39","0","0","31","19","394","0"
"Allen Robinson II","PIT","WR","62","3.9","16","0","0","0","0","0","0","0","0","48","34","280","0"
"Marvin Mims Jr.","DEN","WR","62","4.1","15","0","0","0","0","8","29","0","2","32","21","361","1"
"Joshua Kelley","LAC","RB","61.6","3.9","16","0","0","0","0","105","404","2","1","12","8","32","0"
"Greg Dortch","ARI","WR","61.1","4.1","15","0","0","0","0","1","5","0","0","37","22","266","2"
"JuJu Smith-Schuster","NE","WR","61","5.5","11","0","0","0","0","0","0","0","0","47","29","260","1"
"Zamir White","LV","RB","60.8","3.8","16","0","0","0","0","79","339","1","1","17","14","89","0"
"Brandon Johnson","DEN","WR","60.6","5","12","0","0","0","0","0","0","0","0","25","15","196","4"
"Allen Lazard","NYJ","WR","60.1","4.3","14","0","0","0","0","0","0","0","0","49","23","311","1"
"KaVontae Turpin","DAL","WR","59.2","3.9","15","0","0","0","0","10","105","1","0","18","12","127","3"
"Jalin Hyatt","NYG","WR","58.8","3.7","16","0","0","0","0","0","0","0","0","38","22","368","0"
"Colby Parkinson","SEA","TE","57.9","3.6","16","0","0","0","0","0","0","0","0","30","22","239","2"
"Tre Tucker","LV","WR","57.8","3.9","15","0","0","0","0","9","66","0","0","29","14","252","2"
"Adam Trautman","DEN","TE","57.3","3.6","16","0","0","0","0","0","0","0","0","34","21","183","3"
"Tommy Tremble","CAR","TE","57.3","3.8","15","0","0","0","0","0","0","0","0","30","21","183","3"
"Trenton Irwin","CIN","WR","57.2","3.8","15","0","0","0","0","0","0","0","0","30","23","282","1"
"Daniel Jones","NYG","QB","57","9.5","6","108","909","2","6","40","206","1","1","0","0","0","0"
"Marquez Valdes-Scantling","KC","WR","56.5","3.5","16","0","0","0","0","0","0","0","1","42","21","315","1"
"Michael Carter","NYJ","RB","55.9","4","14","0","0","0","0","26","170","0","0","29","23","99","1"
"Braxton Berrios","MIA","WR","55","3.7","15","0","0","0","0","1","11","0","0","31","25","229","1"
