"Name","Team","POS","PTS","PTS/G","GP","CMP","YDS","TD","INT","ATT","YDS","TD","FUM","TGT","REC","YDS","TD"
"Ross Dwelley","SF","TE","2.2","0.2","12","0","0","0","0","0","0","0","0","2","1","12","0"
"Jakob Johnson","LV","RB","2.2","0.2","12","0","0","0","0","0","0","0","0","2","1","12","0"
"Erik Ezukanma","MIA","WR","2.2","1.1","2","0","0","0","0","5","22","0","0","1","0","0","0"
"Jaren Hall","MIN","QB","2.1","0.7","3","13","168","0","1","6","14","0","2","0","0","0","0"
"Collin Johnson","CHI","WR","2.1","1.1","2","0","0","0","0","0","0","0","0","1","1","11","0"
"Chris Evans","CIN","RB","2.1","0.3","8","0","0","0","0","2","12","0","0","1","1","-1","0"
"Tyrion Davis-Price","SF","RB","2.1","2.1","1","0","0","0","0","6","21","0","0","0","0","0","0"
"Mike White","MIA","QB","2.1","0.3","6","5","74","1","1","8","-9","0","1","0","0","0","0"
"Cooper Rush","DAL","QB","2.1","0.3","7","15","114","0","1","12","-5","0","0","0","0","0","0"
"Leonard Fournette","BUF","RB","2","2","1","0","0","0","0","5","20","0","0","0","0","0","0"
"Cody Thompson","SEA","WR","2","0.3","7","0","0","0","0","0","0","0","0","1","1","10","0"
"Tucker Fisk","ATL","TE","1.9","0.4","5","0","0","0","0","0","0","0","0","1","1","9","0"
"Evan Hull","IND","RB","1.7","1.7","1","0","0","0","0","1","1","0","0","1","1","6","0"
"Britain Covey","PHI","WR","1.7","0.1","15","0","0","0","0","0","0","0","0","1","1","7","0"
"Kevin Rader","TEN","TE","1.6","0.1","13","0","0","0","0","0","0","0","0","1","1","6","0"
"Mason Kinsey","TEN","WR","1.6","0.3","5","0","0","0","0","0","0","0","0","1","1","6","0"
"Zach Evans","LAR","RB","1.6","0.2","9","0","0","0","0","8","16","0","0","0","0","0","0"
"Cole Fotheringham","LV","TE","1.6","0.8","2","0","0","0","0","0","0","0","0","1","1","6","0"
"Jesper Horsted","LV","TE","1.4","0.1","13","0","0","0","0","0","0","0","0","1","1","4","0"
"James Mitchell","DET","TE","1.4","0.1","14","0","0","0","0","0","0","0","0","1","1","4","0"
"Reggie Gilliam","BUF","RB","1.3","0.1","16","0","0","0","0","0","0","0","0","1","1","3","0"
"Kene Nwangwu","MIN","RB","1.3","0.2","8","0","0","0","0","5","13","0","0","0","0","0","0"
"Colton Dowell","TEN","WR","1.3","0.1","10","0","0","0","0","0","0","0","0","2","1","3","0"
"Sean Clifford","GB","QB","1.3","0.6","2","1","37","0","0","3","-2","0","0","0","0","0","0"
"Marcus Mariota","PHI","QB","1.2","0.6","2","2","16","0","0","2","6","0","0","0","0","0","0"
"Giovanni Ricci","CAR","TE","1.2","0.2","5","0","0","0","0","0","0","0","0","1","1","2","0"
"Kwamie Lassiter II","CIN","WR","1.2","1.2","1","0","0","0","0","0","0","0","0","1","1","2","0"
"Antoine Green","DET","WR","1.2","0.1","8","0","0","0","0","0","0","0","0","2","1","2","0"
"Jonathan Ward","TEN","RB","1.1","0.2","7","0","0","0","0","3","11","0","0","0","0","0","0"
"David Wells","TB","TE","1","0.2","5","0","0","0","0","0","0","0","0","2","2","-10","0"
"James Robinson","GB","RB","1","1","1","0","0","0","0","1","2","0","0","1","1","-2","0"
"Dee Eskridge","SEA","WR","0.5","0.1","4","0","0","0","0","2","5","0","0","1","0","0","0"
"La'Mical Perine","KC","RB","0.1","0","4","0","0","0","0","1","1","0","0","1","0","0","0"
"Aaron Rodgers","NYJ","QB","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Matthew Slater","NE","WR","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0"
"Taiwan Jones","NYG","RB","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Matthews","CAR","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Phillip Dorsett","DEN","WR","0","0","2","0","0","0","0","0","0","0","0","3","0","0","0"
"Chris Conley","SF","WR","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Kroft","MIA","TE","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0"
"Damiere Byrd","ATL","WR","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0"
"Laquon Treadwell","BAL","WR","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"Carson Wentz","LAR","QB","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Nick Vannett","LAC","TE","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"Dwayne Washington","DEN","RB","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0"
"Stephen Anderson","LAC","TE","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"J.P. Holtz","NO","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeremy McNichols","SF","RB","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Darrell Daniels","DET","TE","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony Firkser","DET","TE","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Corey Clement","ARI","RB","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"Tre'Quan Smith","DEN","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Jason Cabinda","DET","RB","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0"
"Godwin Igwebuike","ATL","RB","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0"
"Myles Gaskin","MIN","RB","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"N'Keal Harry","MIN","WR","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0"
"Travis Homer","CHI","RB","0","0","15","0","0","0","0","0","0","0","0","1","0","0","0"
"Andy Isabella","BUF","WR","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyree Jackson","NYG","TE","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Stanley Morgan","CIN","WR","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Qadree Ollison","PIT","RB","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"David Sills V","DEN","WR","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Juwann Winfree","IND","WR","0","0","7","0","0","0","0","0","0","0","0","1","0","0","0"
"Matt Sokol","NE","TE","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Patrick Laird","TB","RB","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Stephen Carlson","CHI","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"James Proche II","CLE","WR","0","0","9","0","0","0","0","0","0","0","0","1","0","0","0"
"Easop Winston Jr.","SEA","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Marquez Callaway","NO","WR","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"JaMycal Hasty","JAX","RB","0","0","5","0","0","0","0","0","0","0","0","2","0","0","0"
"Sean McKeon","DAL","TE","0","0","9","0","0","0","0","0","0","0","0","2","0","0","0"
"Albert Okwuegbunam","PHI","TE","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0"
"Noah Togiai","PHI","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Dalton Keene","HOU","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Sam Ehlinger","IND","QB","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Jacob Eason","NYG","QB","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
